ID,Acronymn,EQ,Definition,Type
*,2FA,=,Two-Factor Authentication,
*,3DES,=,Triple Digital Encryption Standard,
*,A11Y,=,Accessibility,(numeronym of 11 letters between a and y)
*,ABAC,=,Attribute Based Access Control,
*,AC,=,Alternating Current,(as in electrical wall plugs)
*,ACI,=,Azure Container Instance,(Microsoft)
*,ACL,=,Access Control List,(defines CRUD permissions for an identity)
*,ACM,=,AWS Certificate Manager,
*,ACR,=,Azure Container Regustry,(Microsoft)
*,AD,=,Active Directory,(Microsoft's technology to control access to users and groups)
*,ADC,=,Analog to Digital Converter,
*,ADC,=,AWS Direct Connect,Amazon
*,AES,=,Advanced Encryption Standard,
*,AHOD,=,All Hands On Deck,
*,AI,=,Artificial Intelligence,
*,AICPA,=,Association of International Certified Professional Accountants,
*,AKA,=,Also Known As,
*,AKS,=,Azure Kubernetes Service,(Microsoft)
*,ALB,=,Application Load Balancer,(Amazon)
*,ALE,=,Annualized Loss Expectancy,
*,ALEER,=,Adopt Land Expand Extend Renew,
*,ALM,=,Application Lifecycle Management,(all that goes into managing building and maintaining software applications)
*,AM,=,Account Manager,
*,AMA,=,Ask Me Anything,
*,AMA,=,Azure Marketplace Application,(such as HashiCorp Consul Service)
*,AMI,=,Amazon Machine Image,(Amazon and Azure image containing operating system and apps)
*,API,=,Application Programming Interface,
*,APJ,=,Asia + Pacific + Japan,
*,APM,=,Application Performance Monitoring,
*,ARM,=,Advanced RISC Machine,(type of computer chip)
*,ARN,=,Amazon Resource Name,(Amazon)
*,ARO,=,Annual Rate of Occurrence,
*,ARP,=,Address Resolution Protocol,(Networking)
*,ASG,=,Auto Scaling Groups,(Amazon)
*,ASIC,=,Application-Specific Integrated Circuit,
*,ASM,=,AWS Secrets Manager,(Amazon)
*,ASN,=,Autonomous System Number.
*,ATO,=,Authority To Operate,(FEDRAMP)
*,ATS,=,Apple Application transport Security,
*,AWS,=,Amazon Web Services,(cloud services provider)
*,B2B,=,Business to Business,(marketing)
*,B2C,=,Business to Consumer,(marketing)
*,BANT,=,Budget + Authority + Need + Timeframe,(framework for buyer readiness)
*,BAU,=,Business Administration Unit,
*,BBS,=,BitBucket Server,(self-managed edition of BitBucket source version manager from Atlassian)
*,BCP,=,Business Continuity Plan,
*,BDM,=,Business Decision Maker,
*,BGP,=,Border Gateway Protocol,
*,BIA,=,Business Impact Assessment,
