ID,_QID,_Title,_Apply,_Question,_Answer_ID,_Answer,
,A&A-01.1,Audit and Assurance Policy and Procedures,,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,A&A-01.2,,,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?
",,,
,A&A-02.1,Independent Assessments,,"Are independent audit and assurance assessments conducted according to relevant standards at least annually?
",,,
,A&A-03.1,Risk Based Planning Assessment,,"Are independent audit and assurance assessments performed according to risk-based plans and policies?
",,,
,A&A-04.1,Requirements Compliance,,"Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?
",,,
,A&A-05.1,Audit Management Process,,"Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?
",,,
,A&A-06.1,Remediation,,"Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,A&A-06.2,,,"Is the remediation status of audit findings reviewed and reported to relevant stakeholders?
",,,
,AIS-01.1,Application and Interface Security Policy and Procedures,,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?
",,,
,AIS-01.2,,,"Are application security policies and procedures reviewed and updated at least annually?
",,,
,AIS-02.1,Application Security Baseline Requirements,,"Are baseline requirements to secure different applications established, documented, and maintained?
",,,
,AIS-03.1,Application Security Metrics,,"Are technical and operational metrics defined and implemented according to business objectives, security requirements, and compliance obligations?
",,,
,AIS-04.1,Secure Application Design and Development,,"Is an SDLC process defined and implemented for application design, development, deployment, and operation per organizationally designed security requirements?
",,,
,AIS-05.1,Automated Application Security Testing,,"Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and organizational speed of delivery goals?
",,,
,AIS-05.2,,,"Is testing automated when applicable and possible?
",,,
,AIS-06.1,Automated Secure Application Deployment,,"Are strategies and capabilities established and implemented to deploy application code in a secure, standardized, and compliant manner?
",,,
,AIS-06.2,,,"Is the deployment and integration of application code automated where possible?
",,,
,AIS-07.1,Application Vulnerability Remediation,,"Are application security vulnerabilities remediated following defined processes?
",,,
,AIS-07.2,,,"Is the remediation of application security vulnerabilities automated when possible?
",,,
,BCR-01.1,Business Continuity Management Policy and Procedures,,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
,BCR-01.2,,,"Are the policies and procedures reviewed and updated at least annually?
",,,
,BCR-02.1,Risk Assessment and Impact Analysis,,"Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?
",,,
,BCR-03.1,Business Continuity Strategy,,"Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?
",,,
,BCR-04.1,Business Continuity Planning,,"Are operational resilience strategies and capability results incorporated to establish, document, approve, communicate, apply, evaluate, and maintain a business continuity plan?
",,,
,BCR-05.1,Documentation,,"Is relevant documentation developed, identified, and acquired to support business continuity and operational resilience plans?
",,,
,BCR-05.2,,,"Is business continuity and operational resilience documentation available to authorized stakeholders?
",,,
,BCR-05.3,,,"Is business continuity and operational resilience documentation reviewed periodically?
",,,
,BCR-06.1,Business Continuity Exercises,,"Are the business continuity and operational resilience plans exercised and tested at least annually and when significant changes occur?
",,,
,BCR-07.1,Communication,,"Do business continuity and resilience procedures establish communication with stakeholders and participants?
",,,
,BCR-08.1,Backup,,"Is cloud data periodically backed up?
",,,
,BCR-08.2,,,"Is the confidentiality, integrity, and availability of backup data ensured?
",,,
,BCR-08.3,,,"Can backups be restored appropriately for resiliency?
",,,
