ID,_QID,_Title,_Apply,_Question,_Answer,_Answer_ID,
1,A&A-01.1,Audit and Assurance Policy and Procedures,,"Are audit and assurance policies, procedures, and standards established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
2,A&A-01.2,,,"Are audit and assurance policies, procedures, and standards reviewed and updated at least annually?
",,,
3,A&A-02.1,Independent Assessments,,"Are independent audit and assurance assessments conducted according to relevant standards at least annually?
",,,
4,A&A-03.1,Risk Based Planning Assessment,,"Are independent audit and assurance assessments performed according to risk-based plans and policies?
",,,
5,A&A-04.1,Requirements Compliance,,"Is compliance verified regarding all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit?
",,,
6,A&A-05.1,Audit Management Process,,"Is an audit management process defined and implemented to support audit planning, risk analysis, security control assessments, conclusions, remediation schedules, report generation, and reviews of past reports and supporting evidence?
",,,
7,A&A-06.1,Remediation,,"Is a risk-based corrective action plan to remediate audit findings established, documented, approved, communicated, applied, evaluated, and maintained?
",,,
8,A&A-06.2,,,"Is the remediation status of audit findings reviewed and reported to relevant stakeholders?
",,,
9,AIS-01.1,Application and Interface Security Policy and Procedures,,"Are application security policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained to guide appropriate planning, delivery, and support of the organization's application security capabilities?
",,,
10,AIS-01.2,,,"Are application security policies and procedures reviewed and updated at least annually?
",,,
11,AIS-02.1,Application Security Baseline Requirements,,"Are baseline requirements to secure different applications established, documented, and maintained?
",,,
12,AIS-03.1,Application Security Metrics,,"Are technical and operational metrics defined and implemented according to business objectives, security requirements, and compliance obligations?
",,,
13,AIS-04.1,Secure Application Design and Development,,"Is an SDLC process defined and implemented for application design, development, deployment, and operation per organizationally designed security requirements?
",,,
14,AIS-05.1,Automated Application Security Testing,,"Does the testing strategy outline criteria to accept new information systems, upgrades, and new versions while ensuring application security, compliance adherence, and organizational speed of delivery goals?
",,,
15,AIS-05.2,,,"Is testing automated when applicable and possible?
",,,
16,AIS-06.1,Automated Secure Application Deployment,,"Are strategies and capabilities established and implemented to deploy application code in a secure, standardized, and compliant manner?
",,,
17,AIS-06.2,,,"Is the deployment and integration of application code automated where possible?
",We installed Consul using automated CI/CD for repeatability.,,
18,AIS-07.1,Application Vulnerability Remediation,,"Are application security vulnerabilities remediated following defined processes?
",,,
19,AIS-07.2,,,"Is the remediation of application security vulnerabilities automated when possible?
",,,
